Kommune;Østlandet;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Kysten_av_Finnmark;Indre_Rogaland;Indre_Hordaland;Sognefjorden;Indre_Fjordane;Fjordene_i_Møre_og_Romsdal;Fjordstrøk_i_Trøndelag;Indre_Helgeland;Ofoten_og_Indre_Salten;Fjordstrøkene_i_Troms;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Indre_Varanger
1617 Hitra (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1620 Frøya (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1621 Ørland (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1622 Agdenes (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1624 Rissa (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1627 Bjugn (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1630 Åfjord (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1632 Roan (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1633 Osen (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1634 Oppdal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1635 Rennebu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1636 Meldal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1638 Orkdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1640 Røros (-2017);;;;;;;;;;;;;;;;;;;;;;;
1644 Holtålen (-2017);;;;;;;;;;;;;;;;;;;;;;;
1645 Haltdalen (-1971);;;;;;;;;;;;;;;;;;;;;;;
1648 Midtre Gauldal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1653 Melhus (-2017);;;;;;;;;;;;;;;;;;;;;;;
1657 Skaun (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1662 Klæbu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1663 Malvik (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1664 Selbu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1665 Tydal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1699 Uoppgitt kommune Sør-Trøndelag;;;;;;;;;;;;;;;;;;;;;;;
1702 Steinkjer (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1703 Namsos (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1711 Meråker (-2017);;;;;;;;;;;;;;;;;;;;;;;
1714 Stjørdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1717 Frosta (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1718 Leksvik (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1719 Levanger (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1721 Verdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1723 Mosvik  (-2011);;;;;;;;;;;;;;;;1;;;;;;;
1724 Verran (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1725 Namdalseid (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1729 Inderøy (-2011);;;;;;;;;;;;;;;;1;;;;;;;
1736 Snåase - Snåsa (-2017);;;;;;;;;;;;;;;;;;;;;;;
1738 Lierne (-2017);;;;;;;;;;;;;;;;;;;;;;;
1739 Raarvihke - Røyrvik (-2017);;;;;;;;;;;;;;;;;;;;;;;
1740 Namsskogan (-2017);;;;;;;;;;;;;;;;;;;;;;;
1742 Grong (-2017);;;;;;;;;;;;;;;;;;;;;;;
1743 Høylandet (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1744 Overhalla (-2017);;;;;;;;;;;;;;;;;;;;;;;
1748 Fosnes (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1749 Flatanger (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1750 Vikna (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1751 Nærøy (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1755 Leka (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1756 Inderøy (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1799 Uoppgitt kommune Nord-Trøndelag;;;;;;;;;;;;;;;;;;;;;;;
1804 Bodø;;;;;;;0.5;;;;;;;;;;;0.5;;;;;
1805 Narvik (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1806 Narvik;;;;;;;;;;;;;;;;;;1;;;;;
