Fylke;Aar;Laks under 3 kg (kg);Laks 3 - 6,9 kg (kg);Laks 7 kg og over (kg);Laks under 3 kg (stk);Laks 3 - 6,9 kg (stk);Laks 7 kg og over (stk)
18;1998;681;743;463;299;164;50
18;1999;546;573;269;267;130;32
18;2000;620;689;216;294;154;25
18;2001;636;847;397;285;174;48
18;2002;386;1191;402;178;254;48
18;2003;476;550;222;231;127;26
18;2004;376;294;91;165;68;11
18;2005;304;361;158;140;88;20
18;2006;846;1655;574;379;370;66
18;2007;344;776;243;152;182;28
18;2008;788;1721;806;341;399;90
18;2009;310;760;324;131;178;38
18;2010;284;832;182;128;210;20
18;2011;279;920;286;118;208;33
18;2012;365;657;288;158;148;34
18;2013;255;609;146;110;133;18
18;2014;394;538;33;172;132;4
18;2015;643;1241;236;268;286;29
18;2016;184;755;207;78;175;23
18;2017;518;1323;339;223;313;42
18;2018;851;1421;191;370;327;21
18;2019;720;1293;200;293;311;24
19;1993;60;64;77;29;15;9
19;1994;65;68;102;34;14;11
19;1995;8;3;8;5;1;1
19;1996;26;98;74;12;22;8
19;1997;448;514;119;204;115;15
19;1998;291;550;52;138;122;6
19;1999;458;1271;867;190;233;106
19;2000;406;368;145;188;83;17
19;2001;292;560;133;135;123;18
19;2002;215;1519;1933;100;302;239
19;2003;180;337;170;83;75;18
19;2004;109;95;30;59;23;4
19;2005;272;259;160;129;55;19
19;2006;255;927;459;122;195;62
19;2007;207;480;229;95;101;26
19;2008;110;402;208;54;83;25
19;2009;39;344;225;18;80;26
19;2010;355;498;141;158;118;15
19;2011;157;376;262;69;84;32
19;2012;327;475;254;139;113;28
19;2013;22;149;103;9;32;13
19;2014;210;309;172;99;70;16
19;2015;114;180;40;49;44;5
19;2016;119;579;234;56;120;29
19;2017;98;168;55;46;40;6
19;2018;45;141;95;20;36;12
19;2019;87;406;126;41;81;16
20;1993;0;0;0;0;0;0
20;1994;0;0;0;0;0;0
20;1995;0;0;0;0;0;0
20;1996;0;0;0;0;0;0
20;1997;0;0;0;0;0;0
20;1998;0;0;0;0;0;0
20;1999;0;0;0;0;0;0
20;2000;0;0;0;0;0;0
20;2001;235;946;302;108;216;34
20;2002;0;0;0;0;0;0
20;2003;306;559;302;138;123;34
20;2004;307;447;107;148;110;13
20;2005;373;339;70;163;75;8
20;2006;368;889;82;163;218;10
20;2007;106;1478;163;51;369;20
20;2008;0;0;0;0;0;0
20;2009;0;0;0;0;0;0
20;2010;0;0;0;0;0;0
20;2011;0;0;0;0;0;0
20;2012;635;1727;579;298;423;65
20;2013;0;0;0;0;0;0
20;2014;125;931;160;55;216;17
20;2015;287;2360;233;151;552;27
20;2016;0;0;0;0;0;0
20;2017;0;0;0;0;0;0
20;2018;84;249;7;36;57;1
20;2019;1515;2251;1020;620;455;111
11;2020;111;220;97;49;46;10
15;2020;319;880;226;142;193;26
18;2020;447;1466;520;182;341;63
30;2020;87;386;15;39;84;2
34;2020;0;0;0;0;0;0
38;2020;209;543;336;84;103;38
42;2020;75;928;85;30;202;11
46;2020;172;479;88;71;107;11
50;2020;1794;2924;491;799;570;49
54;2020;23;136;69;10;33;8
11;2021;260;540;70;121;119;8
15;2021;56;205;97;29;51;13
18;2021;46;89;24;18;21;3
30;2021;0;0;0;0;0;0
34;2021;0;0;0;0;0;0
38;2021;0;0;0;0;0;0
42;2021;0;0;0;0;0;0
46;2021;99;287;15;46;65;2
50;2021;1067;1523;371;528;317;41
54;2021;151;203;136;68;47;16
11;2022;148;112;17;70;25;2
15;2022;293;329;111;128;81;13
18;2022;91;181;38;38;41;5
30;2022;0;0;0;0;0;0
34;2022;0;0;0;0;0;0
38;2022;0;0;0;0;0;0
42;2022;0;0;0;0;0;0
46;2022;211;354;32;93;86;4
50;2022;242;245;44;103;55;5
54;2022;603;335;70;282;74;9
3;2023;52;130;74;25;28;8
11;2023;102;203;15;53;44;2
15;2023;46;320;74;20;66;8
18;2023;385;474;139;170;100;17
34;2023;0;0;0;0;0;0
42;2023;0;0;0;0;0;0
46;2023;109;144;10;56;33;1
50;2023;210;560;75;99;123;9
31;2023;0;0;0;0;0;0
32;2023;0;0;0;0;0;0
33;2023;0;0;0;0;0;0
39;2023;0;0;0;0;0;0
40;2023;0;0;0;0;0;0
55;2023;8;9;0;4;2;0
56;2023;60;121;31;27;27;4
