Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
2009;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2010;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2011;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2012;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2013;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2014;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2015;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2016;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2017;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2018;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2019;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2020;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2021;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2022;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2023;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2024;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1993;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1994;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1995;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1996;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1997;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1998;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1999;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2000;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2001;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2002;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2003;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2004;005.4Z;Gjersjøelva;2;0;0;1;0;0;0;0;0;0;0;0
2005;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2006;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2007;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2008;005.4Z;Gjersjøelva;10;4;0;6;1;0;0;0;0;0;0;0
2009;005.4Z;Gjersjøelva;14;0;0;10;0;0;0;0;0;0;0;0
2010;005.4Z;Gjersjøelva;3;5;0;2;1;0;0;0;0;0;0;0
2011;005.4Z;Gjersjøelva;6;11;0;4;3;0;1;0;0;1;0;0
2012;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2013;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2014;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
