Vassdrag;VdrNr;Andel_hunn;Fangst;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim
Bogna;138.6Z;0.6;;;;;;TRUE
Namsen;139.Z;0.56;;;;;;TRUE
Oksdøla;138.3Z;0.56;;;;;;TRUE
Salvassdraget;140.Z;0.58;;;;;;TRUE
Årgårdsvassdraget/Øyen;138.ZB;0.6;;;;;;TRUE
Årgårdsvassdraget/Ferga;138.ZA;0.56;;;;;;TRUE
Norddalselva;135.ZB;0.59;;;;;;TRUE
Oldenelva;135.1Z;0.57;;;;;;TRUE
Stordalselva;135.Z;0.59;;;;;;TRUE
Børsa;122.1Z;0.6;;;;;;TRUE
Figga;128.3Z;0.6;1;;0.2;;;FALSE
Gaula;122.Z;0.62;;;;;;TRUE
Homla;123.4Z;0.63;;;;;;TRUE
Levangerelva;126.6Z;0.58;;;;;;TRUE
Nidelva;123.Z;0.55;;;;;;TRUE
Nordelva;133.3Z;0.61;;;;;;TRUE
Orkla;121.Z;0.62;;;;;;TRUE
Osaelva;133.2Z;0.55;;;;;;TRUE
Skauga;132.Z;0.6;;;;;;TRUE
Steinkjerelva;128.Z;0.6;1;;0.2;;;FALSE
Stjørdalselva;124.Z;0.56;;;;;;TRUE
Verdalselva;127.Z;0.58;;;;;;TRUE
Vigda;122.2Z;0.61;;;;;;TRUE
Bergselva;119.4Z;0.59;0;;;;;FALSE
Snilldalselva;119.42Z;0.56;0;;;;;FALSE
Søa;119.1Z;0.65;;;;;;TRUE
Åstelva;119.6Z;0.55;0;;;;;FALSE
Lauvsneselva;137.7Z;0.61;1;;;;;FALSE
Steinsdalselva;137.2Z;0.55;;;;;;TRUE
Straumsvassdraget;136.52Z;0.59;1;0.22;;;;FALSE
Teksdalselva;134.Z;0.64;;;;;;TRUE
Åelva;116.Z;0.63;;;;;;TRUE
Flostrandvassdraget;157.42Z;0.56;1;0.43;;;;FALSE
Bjerka;155.4Z;0.52;0;;;;;FALSE
Ranavassdraget;156.Z;0.48;;;;;;TRUE
Røssåga;155.Z;0.56;;;;;;TRUE
Bardalselva;153.6Z;0.58;1;;;;;FALSE
Breilandselva;153.32Z;0.56;1;;;;;FALSE
Drevjavassdraget;152.2Z;0.52;1;2;;;;FALSE
Fustavassdraget;152.Z;0.58;1;0.24;;;;FALSE
Halsanelva;149.6Z;0.57;0;;;;;FALSE
Hestdalselva;149.61Z;0.6;1;;;;;FALSE
Hundåla;151.1Z;0.58;0;;;;;FALSE
Lakselvvassdraget;149.2Z;0.56;1;;;;;FALSE
Leirelvvassdraget;153.22Z;0.56;1;0.68;;;;FALSE
Ranelva (Leirfjord);153.3Z;0.52;1;;;;;FALSE
Vefsnavassdraget;151.Z;0.49;1;;;9600;;FALSE
Lomselva;148.Z;0.57;1;;;;;FALSE
Sausvassdraget;148.2Z;0.59;0;1.88;;;;FALSE
Bogelva (Bindal);144.61Z;0.58;0;;;;;FALSE
Eidevassdraget;145.2Z;0.64;;;;;;TRUE
Storelva (Tosbotn);144.7Z;0.57;;;;;;TRUE
Terråkelva;144.4Z;0.58;1;;;;;FALSE
Urvollvassdraget;144.5Z;0.58;1;1;;;;FALSE
Åbjøra (Åelva);144.Z;0.61;;;;;;TRUE
Bogenvassdraget;175.2Z;0.58;1;;;;;FALSE
Elvegårdselva;174.5Z;0.53;;;;;;TRUE
Forsåvassdraget;172.Z;0.64;;;;;;TRUE
Heggedalselva;177.7Z;0.61;;;;;;TRUE
Kjeldelva;173.1Z;0.63;;;;;;TRUE
Kongsvikelva;177.6Z;0.58;0;;;;;FALSE
Lakselva (Beisfjord);174.2Z;0.55;1;;;;;FALSE
Laksåvassdraget (Evenes);175.3Z;0.57;0;;;;;FALSE
Muskvikelva;171.6Z;0.6;0;;;;;FALSE
Myklebostadvassdraget;176.2Z;0.57;0;;;;;FALSE
Rombakselva;174.3Z;0.6;1;;;;;FALSE
Rånavassdraget;173.3Z;0.6;;;;;;TRUE
Sagvatnanvassdraget;170.Z;0.61;0;;;;;FALSE
Skjoma;173.Z;0.59;;;;;;TRUE
Sneiselvvassdraget;177.73Z;0.59;0;;;;;FALSE
Storvatnvassdraget (Lødingen);178.112Z;0.62;1;;;;;FALSE
Tårstadvassdraget;175.4Z;0.61;;;;;;TRUE
Varpavassdraget;170.5Z;0.59;;;;;;TRUE
Bonnåga;167.3Z;0.54;;;;;;TRUE
Kobbelvvassdraget;167.Z;0.57;1;0.58;;249;831;FALSE
Lakselva (Valljorda);166.3Z;0.58;1;;;;;FALSE
Laksåga;166.5Z;0.59;;;;;;TRUE
Stabburselva og Draugelva;171.Z;0.58;1;0.23;;;;FALSE
Straumenvassdraget;166.4Z;0.56;1;;;;;FALSE
Lakselva i Valnesfjord;164.3Z;0.62;;;;;;TRUE
Lakselva i Misvær (Bodø);162.7Z;0.53;1;0.4;;;;FALSE
Saltdalsvassdraget;163.Z;0.56;;;;;;TRUE
Beiarvassdraget;161.Z;0.58;;;;;;TRUE
Brattlandsvassdraget;157.6Z;0.58;0;;;;;FALSE
Fjærevassdraget;165.7Z;0.64;;;;;;TRUE
Futelva;165.2Z;0.56;1;0.32;;;;FALSE
Færsetvassdraget;147.3Z;0.57;0;;;;;FALSE
Gjervalelva;159.21Z;0.46;;;;;;TRUE
Hopsvassdraget i Bodø;165.1Z;0.57;0;;;;;FALSE
Hopvassdraget (Steigen);168.6Z;0.62;1;1.72;;123;311;FALSE
Laksådalsvassdraget;160.71Z;0.6;0;;;;;FALSE
Lommervassdraget (Bellkjøselva);168.7Z;0.58;1;;;;;FALSE
Reipåvassdraget;160.43Z;0.6;;;;;;TRUE
Silavassdraget;157.52Z;0.57;1;0.8;;;;FALSE
Skromma;160.51Z;0.59;1;;;;;FALSE
Spildervassdraget;160.41Z;0.62;;;;;;TRUE
Strandåvassdraget;165.8Z;0.61;1;;;;;FALSE
Sundfjordselva;161.1Z;0.57;1;;;;;FALSE
Alsvågvassdraget;185.1Z;0.59;;;;;;TRUE
Bleiksvassdraget;186.62Z;0.59;1;6.44;;;;FALSE
Blokkenvassdraget (Blokkelva);178.43Z;0.59;1;;;;;FALSE
Borgevassdraget;180.6Z;0.61;1;;;;;FALSE
Bremnesvassdraget;185.22Z;0.58;1;;;;;FALSE
Buksnesvassdraget;178.7Z;0.63;;;;;;TRUE
Delpvassdraget;179.7Z;0.55;1;;;;;FALSE
Eidebuktvassdraget;178.55Z;0.6;1;;;;;FALSE
Farstadvassdraget;180.4Z;0.57;1;0.01;;;;FALSE
Fiskebølvassdraget;179.8Z;0.56;1;;;;;FALSE
Fiskfjordvassdraget;178.42Z;0.57;1;5.54;;;;FALSE
