Vassdrag	Vdrnr	Aar	FangstHunnU3_Justert	FangstHunn37_Justert	FangstHunnO7_Justert	GytingHunnU3	GytingHunn37	GytingHunnO7	AndelHunnU3	AndelHunn37	AndelHunnO7
Sandvikselva	008.Z	2011	32.69425808	42.53970088	3.800103213	19.96005475	103.8234761	7.871685632	0.400523545	0.700669048	0.552827549
Sandvikselva	008.Z	2012	35.08536848	41.70353271	0	22.55097167	80.89923667	0	0.397780044	0.696825034	0.553258033
Sandvikselva	008.Z	2013	33.50937812	44.88809865	3.83601295	21.5907663	88.5189393	11.48141167	0.396453803	0.700312467	0.553932868
Sandvikselva	008.Z	2014	34.22842725	43.71141306	3.982111843	17.69823828	55.76536232	7.934538792	0.406162144	0.688910409	0.544314677
Sandvikselva	008.Z	2015	34.55166234	44.65634598	3.909790391	20.66828506	125.8710875	11.05340552	0.402819263	0.697818272	0.550285851
Sandvikselva	008.Z	2016	34.51901568	44.50855362	3.75487106	19.6565231	86.52510115	7.673225101	0.394124812	0.692768444	0.543514734
Sandvikselva	008.Z	2017	34.62647711	42.47161848	3.533957686	23.23133855	69.52525484	6.904417983	0.408554828	0.699639111	0.5517104
Sandvikselva	008.Z	2018	35.65310475	43.2675342	3.894796787	20.73918629	75.09878243	6.399783213	0.411019991	0.704093726	0.54218869
Sandvikselva	008.Z	2019	32.50644183	41.65390357	4.042070175	20.48734595	69.77535647	9.139727086	0.403473696	0.695712486	0.549727615
Skienselva	016.Z	1993	224.2401031	338.0332152	35.17797407	570.6183581	1127.555175	166.33684	0.546785156	0.700246549	0.551221816
Skienselva	016.Z	1994	217.685945	342.6732513	27.58418913	532.0128931	1038.495063	151.0034469	0.554303067	0.694802539	0.547550585
Skienselva	016.Z	1995	221.6110307	306.8427123	34.43931392	563.8909807	834.0105855	122.3385076	0.548893278	0.698703698	0.554094852
Skienselva	016.Z	1996	225.1540239	327.6824057	29.86289752	563.8857995	954.0821715	111.311541	0.556162689	0.69939468	0.551123412
Skienselva	016.Z	1997	219.6915608	333.4884527	33.44824975	520.2219105	1080.329321	99.64119979	0.544593168	0.705117676	0.545599995
Skienselva	016.Z	1998	218.9769879	325.4926285	32.62270231	569.1238063	1047.569483	100.4018119	0.560250609	0.699590174	0.553417999
Skienselva	016.Z	1999	223.0489438	330.5900267	27.62302783	562.9065891	926.5066849	71.13325398	0.552258569	0.699265121	0.56058941
Skienselva	016.Z	2000	212.5817649	318.3832612	31.00482103	628.1764863	879.1831459	110.024298	0.546405802	0.702264877	0.557825734
Skienselva	016.Z	2001	217.1917809	319.7313872	31.0564651	554.8692893	1110.804323	99.85170552	0.552915541	0.702414304	0.548577262
