"Vassdrag" "Vdrnr" "Aar" "ExpSmallMin" "FangstAndSmallMin" "ExpSmallMed" "FangstAndSmallMed" "ExpSmallMax" "FangstAndSmallMax" "ExpMellomMin" "FangstAndMellomMin" "ExpMellomMed" "FangstAndMellomMed" "ExpMellomMax" "FangstAndMellomMax" "ExpStorMin" "FangstAndStorMin" "ExpStorMed" "FangstAndStorMed" "ExpStorMax" "FangstAndStorMax"
"Sandvikselva" "008.Z" 1993 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 1994 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 1995 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 1996 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 1997 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 1998 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 1999 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2000 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 2001 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2002 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2003 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2004 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 2005 0.4 0.4 0.6 0.6 0.7 0.7 0 0 0 0 0 0 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2006 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2007 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 2008 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0.1 0.1 0.3 0.3 0.5 0.5
"Sandvikselva" "008.Z" 2009 0.4 0.4 0.6 0.6 0.7 0.7 0.2 0.2 0.4 0.4 0.6 0.6 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2010 0.6 0.6 0.7 0.7 0.8 0.8 0.4 0.4 0.5 0.5 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6
"Sandvikselva" "008.Z" 2011 0.6 0.6 0.7 0.7 0.8 0.8 0.4 0.4 0.5 0.5 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6
"Sandvikselva" "008.Z" 2012 0.6 0.6 0.7 0.7 0.8 0.8 0.4 0.4 0.5 0.5 0.7 0.7 0.3 0.3 0.4 0.4 0.6 0.6
"Sandvikselva" "008.Z" 2013 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2
"Sandvikselva" "008.Z" 2014 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2
"Sandvikselva" "008.Z" 2015 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2 0 0 0 0 0 0
"Sandvikselva" "008.Z" 2016 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2 0.18 0.18 0.19 0.19 0.2 0.2
"Sandvikselva" "008.Z" 2017 0.25 0.25 0.35 0.35 0.45 0.45 0.1 0.1 0.2 0.2 0.3 0.3 0.05 0.05 0.1 0.1 0.2 0.2
"Sandvikselva" "008.Z" 2018 0.25 0.25 0.35 0.35 0.45 0.45 0.1 0.1 0.2 0.2 0.3 0.3 0.05 0.05 0.1 0.1 0.2 0.2
"Sandvikselva" "008.Z" 2019 0.223684210526316 0.25 0.313157894736842 0.35 0.402631578947368 0.45 0.0820512820512821 0.1 0.164102564102564 0.2 0.246153846153846 0.3 0.05 0.05 0.1 0.1 0.2 0.2
"Skienselva" "016.Z" 1993 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Skienselva" "016.Z" 1994 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
